fold,feature,importance_mean,importance_std
0,B8A__p10,0.0,0.0
0,B8A__p11,-5.309647685347585e-05,5.309647685347585e-05
0,B8A__p12,0.0004171732341653467,0.0
0,B8A__p13,-0.0006316037214448844,0.0
0,B8A__p14,-0.0009460183510816289,0.0009460183510816289
0,B8A__p15,-0.0007310223955862005,0.0
0,B8A__p16,0.0,0.0
0,B8A__p17,0.0,0.0
0,B8A__p18,0.0,0.0
0,B8A__p19,0.0004171732341653467,0.0
0,B8A__p20,0.0,0.0
0,B11__p00,-0.0009460183510816289,0.0009460183510816289
0,B11__p01,-0.0006238727325612314,0.0005176797788542797
0,B11__p02,-0.0009460183510816289,0.0009460183510816289
0,B11__p03,-0.0001061929537069517,0.0
0,B11__p04,-0.0005522180530556642,0.0005522180530556642
0,B11__p05,-0.0018920367021632578,0.0
0,B11__p06,0.0,0.0
0,B11__p07,-0.0004186076746465761,0.0003124147209396244
0,B11__p08,0.0007355654312267701,0.0
0,B11__p09,0.00016182357811608816,6.136752576416105e-05
0,B11__p10,0.00036778271561338505,0.00036778271561338505
0,B11__p11,-0.0009460183510816289,0.0009460183510816289
0,B11__p12,0.0007355654312267701,0.0
0,B11__p13,-0.0018920367021632578,0.0
0,B11__p14,0.0058427172385921156,0.0005493245308158257
0,B11__p15,-0.0022023348251072883,0.0003102981229440305
0,B11__p16,0.0,0.0
0,B11__p17,-0.0004186076746465761,0.0003124147209396244
0,B11__p18,-5.309647685347585e-05,5.309647685347585e-05
0,B11__p19,-0.0009460183510816289,0.0009460183510816289
0,B11__p20,-0.0009460183510816289,0.0009460183510816289
0,B12__p00,0.003987445833037229,0.003974028072363689
0,B12__p01,-0.0005707762557077556,0.0005707762557077556
0,B12__p02,-0.0004136675767353326,0.0
0,B12__p03,-0.0009460183510816289,0.0009460183510816289
0,B12__p04,0.0,0.0
0,B12__p05,-0.0023106443768098617,0.00031241472093965217
0,B12__p06,0.0,0.0
0,B12__p07,-0.0008394186843727058,0.0012565919185380525
0,B12__p08,0.0,0.0
0,B12__p09,0.0,0.0
0,B12__p10,0.0,0.0
0,B12__p11,0.0,0.0
0,B12__p12,-0.0012618202118040711,0.0006302164903591867
0,B12__p13,-0.0018920367021632578,0.0
0,B12__p14,-0.0018857282226041605,0.0006269047254471583
0,B12__p15,-0.0022023348251072883,0.0003102981229440305
0,B12__p16,0.0,0.0
0,B12__p17,-0.0007310223955862005,0.0
0,B12__p18,-0.0018151802643449622,0.00036818189188897454
0,B12__p19,-0.0007310223955862005,0.0
0,B12__p20,-0.0009460183510816289,0.0009460183510816289
0,NDVI__p00,-0.0005522180530556642,0.0005522180530556642
0,NDVI__p01,-0.000517131911311669,0.00010346433457633641
0,NDVI__p02,0.0,0.0
0,NDVI__p03,-0.0022023348251072883,0.0003102981229440305
0,NDVI__p04,-0.0005166653978603275,0.0005166653978603275
0,NDVI__p05,0.0,0.0
0,NDVI__p06,0.0,0.0
0,NDVI__p07,0.0,0.0
0,NDVI__p08,0.0,0.0
0,NDVI__p09,0.0,0.0
